id,bron,doel,eigenaar,kijkrichting,camera_type,geom
1,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000005C5837DE1D7914403BE12538F50B4A40
2,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000613255302A7914401AF8510DFB0B4A40
3,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E610000039984D806179144035F0A31AF60B4A40
4,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000005A626534F279144084D89942E70B4A40
5,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000ABCB290131791440CE548847E20B4A40
6,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000002F88484DBB781440586FD40AD30B4A40
7,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000AC527AA69778144025CADE52CE0B4A40
8,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000009C33A2B4377814402B6A300DC30B4A40
9,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000002849D74CBE7914400FB9196EC00B4A40
10,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000FE9B1727BE7A144050C58D5BCC0B4A40
11,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000BFB67EFACF7A1440CD785BE9B50B4A40
12,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000DB5207793D78144054FD4AE7C30B4A40
13,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000007BFA08FCE1771440CF31207BBD0B4A40
14,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000007BDD2230D6771440D20149D8B70B4A40
15,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000761BD47E6B771440A10F96B1A10B4A40
16,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000390F27309D7614408692C9A99D0B4A40
17,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000007A17EFC7ED7714407A185A9D9C0B4A40
18,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000750305DEC97714409831056B9C0B4A40
19,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000007FBC57AD4C7814404301DBC1880B4A40
20,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000022CF2EB877814401CEDB8E1770B4A40
21,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000F88A6EBDA6771440B8ACC266800B4A40
22,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000488AC8B08A7714403DF372D87D0B4A40
23,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E610000028D368723176144093516518770B4A40
24,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000006EC2BD326F75144040DAFF006B0B4A40
25,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E610000004FEF0F3DF73144041F163CC5D0B4A40
26,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000005E488787306E1440944A7842AF0B4A40
27,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000003F912749D76C1440F01472A59E0B4A40
28,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000002CD8463CD96D14400727A25F5B0B4A40
29,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000008AABCABE2B721440A04FE449D20B4A40
30,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E610000090F63FC05A75144052B81E85EB0B4A40
31,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000295AB91798751440CAF962EFC50B4A40
32,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000CB11329067771440DBFCBFEAC80B4A40
33,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000000322C495B37714404BB0389CF90B4A40
34,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000F99FFCDD3B7A1440E4F6CB272B0C4A40
35,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000C79BFC169D7C14400261A758350C4A40
36,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000FB95CE876779144092E7FA3E1C0C4A40
37,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000895DDBDB2D7914409D4A06802A0C4A40
38,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000001900AAB8717B1440E886A6ECF40B4A40
39,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E610000025C9737D1F7E1440151E34BBEE0B4A40
40,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000B0726891ED7C1440F9DA334B020C4A40
41,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000B29DEFA7C67B1440B68311FB040C4A40
42,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000F4C29D0B237D1440A723809BC50B4A40
43,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000D02B9E7AA471144027DBC01DA80B4A40
44,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000000EDDEC0F947B1440274EEE77280C4A40
45,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000005EBD8A8C0E78144011ACAA97DF0B4A40
46,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000B3CD8DE9097B1440331B6492910B4A40
47,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000009E42AED4B3701440ED7DAA0A0D0C4A40
48,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000002B508BC1C3741440925A28999C0C4A40
49,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000E4BA29E5B57214405CAD1397E30B4A40
50,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E610000058E1968FA474144039EFFFE3840B4A40
51,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000359A5C8C81751440CFBEF2203D0B4A40
52,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000C3F2E7DB8275144036C98FF8150B4A40
53,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000003F8BA548BE7214400DC7F319500B4A40
54,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000342C465D6B6F1440FA0AD28C450B4A40
55,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000FD6838656E6E1440A9A44E40130B4A40
56,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000D102B4AD666D144039F06AB9330B4A40
57,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000302E55698B6B1440DE9387855A0B4A40
58,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000DC2DC901BB6A1440516859F78F0B4A40
59,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E610000064B14D2A1A6B1440CADC7C23BA0B4A40
60,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000000F0D8B51D76A144056D3F544D70B4A40
61,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000E9465854C4691440F52EDE8FDB0B4A40
62,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000005F419AB1686A1440060FD3BEB90B4A40
63,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000E38C614ED06614401E4E603AAD0B4A40
64,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000AD4CF8A57E7E1440247EC51A2E0C4A40
65,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000C6A70018CF8014408D47A984270C4A40
66,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E610000059FCA6B052811440F0C2D66CE50B4A40
67,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000006A6798DA527714404777103B530C4A40
68,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E610000045DAC69FA85C1440AB9509BFD4094A40
69,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000FCE42840145C14401E882CD2C4094A40
70,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000853E58C6865E144081ECF5EE8F094A40
71,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000BABC395CAB5D144015191D9084094A40
72,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000F5B86FB54E5C14409CFBABC77D094A40
73,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E61000009DF6949C135B144072FA7ABE66094A40
74,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000CC43A67C085A1440200890A163094A40
75,gemeente_utrecht,Openbare orde & Veiligheid,Gemeente Utrecht,onbekend,onbekend,0101000020E6100000130F289B7265144052D32EA699084A40
